lat,long,ranking ,name,address,city,region,,,,,,
42.3864098,-72.5255814,58,University of Massachusetts Amherst,"University of Massachusetts, MA",0,ignore,,,,,,
33.9401436,-83.3745422,59,University of Georgia,"University of Georgia, GA",0,ignore,,,,,,
43,-78.7900009,60,University at Buffalo,"University at Buffalo, NY",0,ignore,,,,,,
40.8176384,-96.7015152,61,University of Nebraska Lincoln,"university. of nebraska, NE",0,ignore,,,,,,
33.9719849,-117.3286438,62,University of California Riverside,"University of California, Riverside, CA",Los Angeles,california,,,,,,
41.8700294,-87.6607285,63,University of Illinois Chicago,"Universidade de Illinois, IL",Chicago,illinois,,,,,,
39.6721916,-75.7442627,64,University of Delaware,"University of Delaware, DE",Philadelphia,pennsylvania,,,,,,
38.3128815,-104.5814819,65,Colorado State University,"University, Pueblo, CO",0,ignore,,,,,,
38.0281105,-84.5057373,66,University of Kentucky,"University of Kentucky, KY",0,ignore,,,,,,
36.97746,-122.05226,67,University of California Santa Cruz,"1156 High St, Santa Cruz, CA 95064",San Francisco,california,,,,,,
44.045269,-123.0696869,68,Oregon State University,"University, Eugene, OR",0,ignore,,,,,,
35.9517288,-83.9326324,69,University of Tennessee Knoxville,"University of Tennessee, TN",0,ignore,,,,,,
41.704361,-86.2380066,70,University of Notre Dame,"University of Notre Dame, IN",0,ignore,,,,,,
43.7036285,-72.2900314,71,Dartmouth College,"Dartmouth College, NH",0,ignore,,,,,,
41.809021,-72.2555313,72,University of Connecticut,"Universidade de Connecticut, CT",0,ignore,,,,,,
25.7183094,-80.2776413,73,University of Miami,"University of Miami, FL",0,ignore,,,,,,
40.7291641,-73.9940948,74,City University of New York,"New York University, NY",New York,new york,,,,,,
28.0618248,-82.4139404,75,University of South Florida,"University of South Florida, FL",0,ignore,,,,,,
38.9453011,-92.3287964,76,University of Missouri Columbia,"University of Missouri, MO",0,ignore,,,,,,
38.9089012,-77.0743256,77,Georgetown University,"Georgetown University, DC",Baltimore,maryland,,,,,,
46.7295418,-117.1661148,78,Washington State University Pullman,"Washington State University, WA",0,ignore,,,,,,
38.9001312,-77.0501175,79,George Washington University,"George Washington University, Washington, DC",Baltimore,maryland,,,,,,
