FUNDING,name,State
170808,hiv,TEXAS
342018,diabetes,TEXAS
155600,lung,TEXAS
13734,tumor,TEXAS
306190,aging,TEXAS
59177,brain,TEXAS
436411,lung,TEXAS
568945,hiv,TEXAS
324738,breast,TEXAS
320963,breast,TEXAS
256854,brain,TEXAS
43576,alcohol,TEXAS
335246,breast,TEXAS
365538,brain,TEXAS
301150,breast,TEXAS
396250,brain,TEXAS
154691,aging,TEXAS
75e4,breast,TEXAS
172369,lung,TEXAS
199999,hiv,TEXAS
614362,breast,TEXAS
337569,lung,MASSACHUSETTS
2309176,lung,CALIFORNIA
618635,lung,CALIFORNIA
294e3,tumor,CALIFORNIA
12913,lung,CALIFORNIA
51410,aging,CALIFORNIA
425002,tumor,CALIFORNIA
215047,breast,CALIFORNIA
258825,aging,CALIFORNIA
382500,tumor,CALIFORNIA
352750,tumor,CALIFORNIA
499010,hiv,CALIFORNIA
127500,aging,CALIFORNIA
1367489,hiv,CALIFORNIA
989046,breast,CALIFORNIA
335466,breast,CALIFORNIA
512462,hiv,CALIFORNIA
221787,tumor,CALIFORNIA
371875,brain,CALIFORNIA
817565,breast,CALIFORNIA
715480,alcohol,Others
149861,alcohol,Others
584754,diabetes,WASHINGTON
119849,tumor,WASHINGTON
362503,tumor,WASHINGTON
1394997,diabetes,WASHINGTON
31901976,immune,WASHINGTON
511603,aging,Others
194616,brain,MASSACHUSETTS
331185,aging,MASSACHUSETTS
310620,tumor,MASSACHUSETTS
675687,diabetes,MASSACHUSETTS
259500,brain,MASSACHUSETTS
191441,breast,MASSACHUSETTS
163565,hiv,MASSACHUSETTS
233611,lung,MASSACHUSETTS
732756,diabetes,MASSACHUSETTS
380625,brain,MASSACHUSETTS
177353,stress,MASSACHUSETTS
283772,aging,MASSACHUSETTS
169682,stress,MASSACHUSETTS
355503,aging,MASSACHUSETTS
605760,aging,MASSACHUSETTS
169668,tumor,MASSACHUSETTS
878251,aging,MASSACHUSETTS
215325,hiv,MASSACHUSETTS
3469355,hiv,MASSACHUSETTS
361050,breast,MASSACHUSETTS
123903,aging,MASSACHUSETTS
217500,aging,MASSACHUSETTS
380625,brain,MASSACHUSETTS
371065,tumor,MASSACHUSETTS
625470,brain,MASSACHUSETTS
380625,brain,MASSACHUSETTS
168804,breast,MASSACHUSETTS
361050,lung,MASSACHUSETTS
6831998,alcohol,MASSACHUSETTS
102130,tumor,MASSACHUSETTS
533945,aging,MASSACHUSETTS
217500,aging,MASSACHUSETTS
87e3,tumor,MASSACHUSETTS
345993,hiv,MASSACHUSETTS
355719,breast,MASSACHUSETTS
145636,hiv,MASSACHUSETTS
188138,tumor,MASSACHUSETTS
457781,lung,MASSACHUSETTS
790240,diabetes,MASSACHUSETTS
87e3,tumor,MASSACHUSETTS
176428,aging,MASSACHUSETTS
225055,hiv,MASSACHUSETTS
540402,brain,MASSACHUSETTS
64146,tumor,MASSACHUSETTS
710976,diabetes,MASSACHUSETTS
400004,hiv,MASSACHUSETTS
176694,lung,MASSACHUSETTS
632069,immune,MASSACHUSETTS
173179,hiv,MASSACHUSETTS
4630463,hiv,MASSACHUSETTS
440786,tumor,MASSACHUSETTS
569750,brain,MASSACHUSETTS
241629,breast,MASSACHUSETTS
1044e3,tumor,MASSACHUSETTS
216250,breast,MASSACHUSETTS
249e3,brain,MASSACHUSETTS
223421,brain,Others
224116,aging,OHIO
223063,lung,MARYLAND
224999,aging,MASSACHUSETTS
560904,aging,Others
225e3,immune,Others
404966,hiv,CALIFORNIA
125e3,hiv,CALIFORNIA
304800,hiv,CALIFORNIA
45666,diabetes,Others
224229,aging,CALIFORNIA
422846,stress,Others
74381,stress,NEW YORK
1970805,immune,MASSACHUSETTS
235467,stress,MASSACHUSETTS
352125,aging,MASSACHUSETTS
241061,immune,MASSACHUSETTS
827665,immune,MASSACHUSETTS
118811,hiv,MASSACHUSETTS
998459,hiv,MASSACHUSETTS
727673,hiv,MASSACHUSETTS
172120,hiv,MASSACHUSETTS
164160,aging,MASSACHUSETTS
99989,hiv,MASSACHUSETTS
430863,hiv,MASSACHUSETTS
87e3,aging,MASSACHUSETTS
432848,stress,MASSACHUSETTS
426842,hiv,MASSACHUSETTS
416252,alcohol,MASSACHUSETTS
367575,immune,MASSACHUSETTS
649044,hiv,MASSACHUSETTS
69433,hiv,MASSACHUSETTS
698446,alcohol,MASSACHUSETTS
693683,diabetes,MASSACHUSETTS
177435,hiv,MASSACHUSETTS
764086,alcohol,MASSACHUSETTS
205625,stress,MASSACHUSETTS
220995,brain,MASSACHUSETTS
455924,tumor,MASSACHUSETTS
349563,aging,MASSACHUSETTS
11957319,diabetes,MASSACHUSETTS
246750,brain,MASSACHUSETTS
31409,aging,MASSACHUSETTS
246750,brain,MASSACHUSETTS
240177,aging,MASSACHUSETTS
88105,stress,MASSACHUSETTS
33334,brain,MASSACHUSETTS
239010,aging,MASSACHUSETTS
37976,tumor,MASSACHUSETTS
123076,immune,MASSACHUSETTS
231270,brain,MASSACHUSETTS
242072,alcohol,MASSACHUSETTS
204625,aging,MASSACHUSETTS
740375,diabetes,MASSACHUSETTS
410084,hiv,MASSACHUSETTS
541294,lung,MASSACHUSETTS
129698,stress,MASSACHUSETTS
174505,hiv,MASSACHUSETTS
204625,hiv,MASSACHUSETTS
565165,breast,MASSACHUSETTS
409250,lung,MASSACHUSETTS
601288,diabetes,MASSACHUSETTS
753536,immune,MASSACHUSETTS
248332,diabetes,MASSACHUSETTS
237361,aging,MASSACHUSETTS
27576,lung,MASSACHUSETTS
428500,lung,MASSACHUSETTS
2322345,aging,MASSACHUSETTS
621044,aging,MASSACHUSETTS
409250,lung,MASSACHUSETTS
164357,brain,MASSACHUSETTS
409250,lung,MASSACHUSETTS
865396,alcohol,MASSACHUSETTS
194854,brain,MASSACHUSETTS
751484,aging,MASSACHUSETTS
160790,lung,MASSACHUSETTS
412675,lung,MASSACHUSETTS
658e3,hiv,MASSACHUSETTS
369075,diabetes,MASSACHUSETTS
546103,lung,MASSACHUSETTS
541425,lung,MASSACHUSETTS
56118,tumor,MASSACHUSETTS
329e3,tumor,MASSACHUSETTS
529979,lung,MASSACHUSETTS
177443,stress,MASSACHUSETTS
409250,lung,MASSACHUSETTS
676510,aging,MASSACHUSETTS
136302,brain,MASSACHUSETTS
953194,stress,MASSACHUSETTS
1053480,lung,MASSACHUSETTS
154290,hiv,MASSACHUSETTS
69233,aging,MASSACHUSETTS
246750,hiv,MASSACHUSETTS
191808,breast,MASSACHUSETTS
273235,aging,MASSACHUSETTS
63e3,aging,MASSACHUSETTS
395155,stress,MASSACHUSETTS
1496457,aging,MASSACHUSETTS
335585,aging,MASSACHUSETTS
36133,stress,MASSACHUSETTS
565669,lung,MASSACHUSETTS
249233,breast,MASSACHUSETTS
644344,alcohol,MASSACHUSETTS
358515,alcohol,MASSACHUSETTS
684262,brain,MASSACHUSETTS
82250,aging,MASSACHUSETTS
466010,diabetes,MASSACHUSETTS
594360,brain,MASSACHUSETTS
673080,brain,MASSACHUSETTS
335585,brain,MASSACHUSETTS
588013,brain,MARYLAND
840435,brain,MARYLAND
86264,brain,MASSACHUSETTS
299563,aging,MASSACHUSETTS
184424,brain,MASSACHUSETTS
69246,lung,MASSACHUSETTS
349375,lung,MASSACHUSETTS
193400,alcohol,MASSACHUSETTS
318871,aging,MASSACHUSETTS
28423,alcohol,MASSACHUSETTS
113933,aging,MASSACHUSETTS
341500,diabetes,MASSACHUSETTS
484546,aging,MASSACHUSETTS
185220,hiv,MASSACHUSETTS
159072,stress,MASSACHUSETTS
659485,hiv,MASSACHUSETTS
533223,brain,MASSACHUSETTS
872796,aging,MASSACHUSETTS
450552,lung,MASSACHUSETTS
800349,hiv,MASSACHUSETTS
134730,stress,MASSACHUSETTS
88750,aging,MASSACHUSETTS
159192,diabetes,MASSACHUSETTS
2242720,aging,MASSACHUSETTS
6e4,aging,MASSACHUSETTS
88750,brain,MASSACHUSETTS
178200,immune,MASSACHUSETTS
54294,alcohol,MASSACHUSETTS
644550,tumor,MASSACHUSETTS
733646,aging,MASSACHUSETTS
763258,diabetes,MASSACHUSETTS
1052893,immune,MASSACHUSETTS
547658,aging,MASSACHUSETTS
474514,aging,MASSACHUSETTS
88750,immune,MASSACHUSETTS
461828,brain,MASSACHUSETTS
424411,tumor,MASSACHUSETTS
94500,brain,MASSACHUSETTS
62010,lung,MASSACHUSETTS
204825,aging,MASSACHUSETTS
230378,aging,MASSACHUSETTS
484423,lung,MASSACHUSETTS
263150,brain,MASSACHUSETTS
183338,hiv,MASSACHUSETTS
580117,lung,MASSACHUSETTS
88750,aging,MASSACHUSETTS
217016,tumor,MASSACHUSETTS
368313,brain,MASSACHUSETTS
316635,tumor,MASSACHUSETTS
716703,lung,MASSACHUSETTS
346303,breast,MASSACHUSETTS
423177,lung,MASSACHUSETTS
130649,aging,MASSACHUSETTS
389142,immune,MASSACHUSETTS
332291,tumor,MASSACHUSETTS
1217277,brain,MASSACHUSETTS
729261,aging,MASSACHUSETTS
306680,aging,MASSACHUSETTS
136440,hiv,MASSACHUSETTS
162150,aging,MASSACHUSETTS
213629,hiv,MASSACHUSETTS
2270035,aging,MASSACHUSETTS
238365,hiv,MASSACHUSETTS
891806,breast,MASSACHUSETTS
430428,brain,MASSACHUSETTS
193031,brain,MASSACHUSETTS
25e4,aging,MASSACHUSETTS
2139888,hiv,MASSACHUSETTS
249e3,aging,MASSACHUSETTS
130975,aging,MASSACHUSETTS
647667,stress,MASSACHUSETTS
188691,lung,MASSACHUSETTS
420963,immune,MASSACHUSETTS
237600,aging,MASSACHUSETTS
84129,aging,MASSACHUSETTS
518868,stress,MASSACHUSETTS
457910,aging,MASSACHUSETTS
336824,lung,MASSACHUSETTS
132369,aging,MASSACHUSETTS
669302,diabetes,MASSACHUSETTS
136328,diabetes,MASSACHUSETTS
58002,immune,MASSACHUSETTS
88750,brain,MASSACHUSETTS
54e3,aging,MASSACHUSETTS
210842,lung,MASSACHUSETTS
444500,hiv,MASSACHUSETTS
513828,breast,MASSACHUSETTS
263770,brain,MASSACHUSETTS
896825,hiv,MASSACHUSETTS
178200,breast,MASSACHUSETTS
241066,diabetes,MASSACHUSETTS
183060,hiv,MASSACHUSETTS
509381,breast,MASSACHUSETTS
502378,immune,MASSACHUSETTS
678786,breast,MASSACHUSETTS
2662500,tumor,MASSACHUSETTS
446234,brain,MASSACHUSETTS
221875,aging,MASSACHUSETTS
1695875,aging,MASSACHUSETTS
629634,lung,MASSACHUSETTS
127720,hiv,MASSACHUSETTS
406031,breast,MASSACHUSETTS
443750,aging,MASSACHUSETTS
435516,aging,MASSACHUSETTS
675664,diabetes,MASSACHUSETTS
584538,immune,MASSACHUSETTS
344810,aging,MASSACHUSETTS
172800,lung,MASSACHUSETTS
